NAME_PY;NAME_CH;NAME_FT;X_COOR;Y_COOR;PRES_LOC;TYPE_PY;TYPE_CH;LEV_RANK;勘誤;BEG_YR;BEG_RULE;END_YR;END_RULE;NOTE_ID;OBJ_TYPE;SYS_ID;GEO_SRC;COMPILER;GEOCOMPLR;CHECKER;END_DATE;BEG_CHG_TY;END_CHG_TY
Haiqu Xian;海曲县;海曲縣;119.40339;35.41991;今山东日照市西大古城;Xian;县;6;正確;-201;;218;;85644;POINT;85644;FROM_FD;;;;;新建;撤销
Lu Xian;卢县;盧縣;118.19142;35.79941;今山东蒙阴县东北坦埠镇西故县村;Xian;县;6;正確;-164;;13;;85645;POINT;85645;FROM_FD;;;;;新建;更名
Zhushan Xian;著善县;著善縣;118.19142;35.79941;今山东蒙阴县东北坦埠镇西故县村;Xian;县;6;正確;14;;23;;85646;POINT;85646;FROM_FD;;;;;更名;更名
Lu Xian;卢县;盧縣;118.19142;35.79941;今山东蒙阴县东北坦埠镇西故县村;Xian;县;6;正確;23;;29;;85647;POINT;85647;FROM_FD;;;;;更名;撤销
Tancheng Xian;郯城县;郯城縣;118.33465;34.6211;今山东郯城县北一百公尺;Xian;县;6;正確;-212;;555;;85649;POINT;85649;FROM_FD;;;;;新建;撤销
Boyang Xian;博阳县;博陽縣;117.19949;36.10761;今山东泰安市东南旧县;Xian;县;6;正確;-221;;-188;;85652;POINT;85652;FROM_FD;;;;;新建;更名
Bo Xian;博县;博縣;117.19949;36.10761;今山东泰安市东南旧县;Xian;县;6;正確;-187;;468;;85653;POINT;85653;FROM_FD;;;;;更名;更名
Liangfu Xian;梁父县;梁父縣;117.66343;35.88888;今山东泰安市东南东良庄;Xian;县;6;正確;-122;;135;;85664;POINT;85664;FROM_FD;;;;;新建;更名
Juping Xian;巨平县;巨平縣;117.09668;35.95569;今山东泰安市南大汶口;Xian;县;6;正確;-122;;468;;85669;POINT;85669;FROM_FD;;;;;新建;治所迁移
Sheqiu Xian;蛇丘县;蛇丘縣;116.92899;36.07212;今山东泰安市西南夏张乡故县店;Xian;县;6;正確;-122;;604;;85671;POINT;85671;FROM_FD;;;;;新建;撤销
Dongpingyang Xian;东平阳县;東平陽縣;117.75588;35.90966;今山东新泰市;Xian;县;6;正確;-122;;29;;85672;POINT;85672;FROM_FD;;;;;新建;撤销
Mou Xian;牟县;牟縣;117.80253;36.19057;今山东莱芜市东大辛庄附近;Xian;县;6;正確;-122;;555;;85676;POINT;85676;FROM_FD;;;;;新建;撤销
Ying Xian;嬴县;嬴縣;117.57146;36.32673;今山东莱芜市西北城子县;Xian;县;6;正確;-122;;467;;85677;POINT;85677;FROM_FD;;;;;新建;治所迁移
Wuyan Xian;无盐县;無鹽縣;116.49642;35.9073;今山东东平县东无盐村;Xian;县;6;正確;-144;;13;;85679;POINT;85679;FROM_FD;;;;;新建;更名
Youyan Ting;有盐亭;有鹽亭;116.49642;35.9073;今山东东平县东无盐村;Ting;亭;6;正確;14;;22;;85680;POINT;85680;FROM_FD;;;;;更名;更名
Wuyan Xian;无盐县;無鹽縣;116.49642;35.9073;今山东东平县东无盐村;Xian;县;6;正確;23;;468;;85681;POINT;85681;FROM_FD;;;;;更名;治所迁移
Xuchang Xian;须昌县;須昌縣;116.28256;35.95607;今山东东平县西埠子坡村;Xian;县;6;正確;-221;;-197;;85683;POINT;85683;FROM_FD;;;;;新建;更名
Xuchang Houguo;须昌侯国;須昌侯國;116.28256;35.95607;今山东东平县西埠子坡村;Houguo;侯国;6;正確;-196;;-153;;85684;POINT;85684;FROM_FD;;;;;更名;更名
Xuchang Xian;须昌县;須昌縣;116.28256;35.95607;今山东东平县西埠子坡村;Xian;县;6;正確;-152;;555;;85685;POINT;85685;FROM_FD;;;;;更名;撤销
